MOUNTAIN	ELEVATION	PROMINENCE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	3500FOOT	1800PROM	52VIEW	TOWER
Iron Mountain	2726	926	White Mountains	Presidential Range (NH)	44.134346	-71.239056	NO	NO	NO	YES	NO
North Kinsman Mountain	4293	253	White Mountains	Kinsman Range	44.133370	-71.736915	YES	YES	NO	NO	NO
Mount Bemis	3725	245	White Mountains		44.126977	-71.393628	NO	YES	NO	NO	NO
Mount Parker	3004	164	White Mountains	Presidential Range (NH)	44.123591	-71.298740	NO	NO	NO	YES	NO
South Kinsman Mountain	4358	2398	White Mountains	Kinsman Range	44.122965	-71.736553	YES	YES	YES	NO	NO
Mount Nancy	3926	1006	White Mountains		44.122322	-71.404649	NO	YES	NO	NO	NO
Mount Liberty	4459	379	White Mountains	Franconia Range	44.115781	-71.642142	YES	YES	NO	NO	NO
Mount Anderson	3720	440	White Mountains		44.112607	-71.417798	NO	YES	NO	NO	NO
Mount Flume	4328	408	White Mountains	Franconia Range	44.108779	-71.627914	YES	YES	NO	NO	NO
Kearsarge North	3268	1748	White Mountains	Baldface Range	44.105855	-71.094296	NO	NO	NO	YES	YES
Mount Lowell	3720	560	White Mountains		44.103796	-71.418261	NO	YES	NO	NO	NO
Vose Spur	3862	222	White Mountains		44.102944	-71.434647	NO	YES	NO	NO	NO
Mount Pemigewasset	2557	117	White Mountains	Kinsman Range	44.097871	-71.699656	NO	NO	NO	YES	NO
Mount Carrigain	4680	2223	White Mountains	Hancock Range	44.093567	-71.446865	YES	YES	YES	NO	YES
The Captain	3520	200	White Mountains		44.084086	-71.462209	NO	YES	NO	NO	NO
Mount Hancock	4400	1200	White Mountains	Hancock Range	44.083370	-71.493429	YES	YES	NO	NO	NO
Mount Wolf	3480	880	White Mountains		44.076032	-71.750378	NO	NO	NO	NO	NO
Black Mountain (NH)	2820	660	White Mountains	Moosilaukee Range	44.074588	-71.922222	NO	NO	NO	YES	NO
Mount Hitchcock	3600	520	White Mountains		44.074502	-71.539482	NO	YES	NO	NO	NO
South Hancock	4319	159	White Mountains	Hancock Range	44.073219	-71.487149	YES	YES	NO	NO	NO
Black Cap	2367	947	White Mountains		44.056137	-71.066978	NO	NO	NO	NO	NO
Mount Tremont	3371	1571	White Mountains	Barlett Range	44.053434	-71.357040	NO	NO	NO	YES	NO
Mount Huntington	3680	800	White Mountains		44.050245	-71.491162	NO	YES	NO	NO	NO
Middle Huntington	3680	160	White Mountains		44.046373	-71.485071	NO	YES	NO	NO	NO
North Moat Mountain	3196	1156	White Mountains	Barlett Range	44.043176	-71.214707	NO	NO	NO	YES	NO
Mount Clough	3561	1241	White Mountains		44.029416	-71.872179	NO	YES	NO	NO	NO
Scar Ridge	3774	654	White Mountains		44.029130	-71.595346	NO	YES	NO	NO	NO
Mount Moosilauke	4802	2932	White Mountains	Moosilaukee Range	44.024326	-71.830965	YES	YES	YES	NO	NO
Middle Moat Mountain	2805	325	White Mountains		44.023685	-71.198836	NO	NO	NO	NO	NO
Blueberry Mountain	2662	42	Monadnock Mountains	Moosilaukee Range	44.019368	-71.905099	NO	NO	NO	YES	NO
East Scar Ridge	3620	340	White Mountains		44.019148	-71.565276	NO	YES	NO	NO	NO
South Moat Mountain	2760	60	White Mountains	Barlett Range	44.017516	-71.193578	NO	NO	NO	YES	NO
Mount Kancamagus	3762	842	White Mountains		44.011127	-71.479116	NO	YES	NO	NO	NO
East Osceola	4156	316	White Mountains	Osceola Range	44.006235	-71.520622	YES	YES	NO	NO	NO
Mount Osceola	4320	2000	White Mountains	Osceola Range	44.001614	-71.535615	YES	YES	YES	NO	NO
Scaur Peak	3605	165	White Mountains	Sandwich Range	43.985268	-71.450170	NO	YES	NO	NO	NO
Potash Mountain	2680	200	White Mountains	Sandwich Range	43.982140	-71.390907	NO	NO	NO	YES	NO
Mount Mist	2220	840			43.974831	-71.930797	NO	NO	NO	NO	NO
Hedgehog Mountain	2532	452	White Mountains	Sandwich Range	43.974254	-71.367159	NO	NO	NO	YES	NO
North Tripyramid	4160	1320	White Mountains	Sandwich Range	43.973254	-71.442878	YES	YES	NO	NO	NO
The Fool Killer	3548	188	White Mountains		43.971414	-71.426374	NO	YES	NO	NO	NO
Mount Tecumseh	4003	1723	White Mountains	Osceola Range	43.966479	-71.556689	YES	YES	NO	NO	NO
Middle Sister	3354	114	White Mountains	Sandwich Range	43.964846	-71.270253	NO	NO	NO	YES	NO
Middle Tripyramid	4120	240	White Mountains	Sandwich Range	43.964662	-71.440101	YES	YES	NO	NO	NO
Mount Passaconaway	4043	803	White Mountains	Sandwich Range	43.954734	-71.380821	YES	YES	NO	NO	NO
Mount Chocorua	3480	1240	White Mountains	Sandwich Range	43.954350	-71.273346	NO	NO	NO	YES	NO
West Sleeper	3881	161	White Mountains		43.954336	-71.435404	NO	YES	NO	NO	NO
Square Ledge	2600	0	White Mountains	Sandwich Range	43.952780	-71.363327	NO	NO	NO	YES	NO
Mount Paugus	3198	958	White Mountains	Sandwich Range	43.951106	-71.329093	NO	NO	NO	YES	NO
East Sleeper	3840	320	White Mountains		43.946684	-71.425497	NO	YES	NO	NO	NO
Mount Whiteface	4000	560	White Mountains	Sandwich Range	43.936643	-71.407716	YES	YES	NO	NO	NO
Mount Hibbard	2920	0	White Mountains	Sandwich Range	43.936211	-71.370914	NO	NO	NO	YES	NO
Mount Wonalancet	2760	160	White Mountains		43.927100	-71.376706	NO	NO	NO	NO	NO
Dickey Mountain	2734	134	White Mountains	Osceola Range	43.923009	-71.578737	NO	NO	NO	YES	NO
Noon Peak	2976	56	White Mountains		43.920243	-71.501697	NO	NO	NO	NO	NO
Jennings Peak	3440	120	White Mountains	Sandwich Range	43.911103	-71.510769	NO	NO	NO	YES	NO
Sandwich Mountain	3960	1160	White Mountains	Sandwich Range	43.900524	-71.498151	NO	YES	NO	YES	NO
Mount Cube	2909	849	Monadnock Mountains	Baker Range	43.885727	-72.023467	NO	NO	NO	YES	NO
Carr Mountain	3453	1480	White Mountains		43.884788	-71.843370	NO	NO	NO	NO	NO
Great Hill	1250	290	White Mountains		43.876799	-71.298823	NO	NO	NO	NO	YES
Mount Israel	2620	1180	White Mountains	Squam Range	43.845662	-71.471920	NO	NO	NO	YES	NO
Stinson Mountain	2840	1440	White Mountains	Moosilaukee Range	43.834739	-71.779284	NO	NO	NO	YES	NO
Smarts Mountain	3238	2178	Monadnock Mountains	Baker Range	43.825735	-72.038638	NO	NO	YES	NO	YES
Mount Percival	2212	52	White Mountains	Squam Range	43.809688	-71.557202	NO	NO	NO	NO	NO
Bayle Mountain	1853	193	Lowland	Ossipee Range	43.783435	-71.251878	NO	NO	NO	NO	NO
West Rattlesnake	1240	240	White Mountains	Squam Range	43.780487	-71.540832	NO	NO	NO	NO	NO
Holt's Ledge	2100	860	Monadnock Mountains		43.772953	-72.108207	NO	NO	NO	NO	NO
Green Mountain	1884	1284	Lowland		43.767792	-71.036936	NO	NO	NO	NO	YES
Faraway Mountain	2782	413	Lowland	Ossipee Range	43.761530	-71.311649	NO	NO	NO	NO	NO
Mount Roberts	2582	102	Lowland	Ossipee Range	43.756322	-71.326004	NO	NO	NO	YES	NO
Red Hill	2020	1360	Lowland	Ossipee Range	43.755889	-71.457846	NO	NO	NO	NO	YES
Mount Shaw	2990	2330	Lowland	Ossipee Range	43.743940	-71.274112	NO	NO	YES	YES	NO
Mount Flagg	2390	130	Lowland	Ossipee Range	43.743479	-71.251789	NO	NO	NO	NO	NO
Sentinel Mountain	1680	120	Lowland	Ossipee Range	43.736578	-71.225480	NO	NO	NO	NO	NO
Black Snout	2803	63	Lowland	Ossipee Range	43.736093	-71.272639	NO	NO	NO	NO	NO
Moose Mountain	2303	1423	Monadnock Mountains		43.734713	-72.140958	NO	NO	NO	NO	NO
Turtleback Mountain	2203	143	Lowland	Ossipee Range	43.729472	-71.295680	NO	NO	NO	NO	NO
Tate Mountain	2060	140	Lowland	Ossipee Range	43.724741	-71.270010	NO	NO	NO	NO	NO
Bald Knob	1801	1	Lowland	Ossipee Range	43.723499	-71.298021	NO	NO	NO	NO	NO
Wawbeek	814	227	Lowland		43.675135	-71.287365	NO	NO	NO	NO	YES
Mount Cardigan	3123	1890	Monadnock Mountains	Baker Range	43.649585	-71.914251	NO	NO	YES	YES	YES
Lockes Hill	1057	257	Lowland	Belknap Range	43.578240	-71.379579	NO	NO	NO	NO	NO
Mount Rowe	1680	185	Lowland	Belknap Range	43.545732	-71.378252	NO	NO	NO	NO	NO
Copple Crown Mountain	1868	1188	Lowland		43.534675	-71.115751	NO	NO	NO	NO	NO
Gunstock Mountain	2240	220	Lowland	Belknap Range	43.526053	-71.378686	NO	NO	NO	NO	NO
Belknap Mountain	2382	1842	Lowland	Belknap Range	43.518001	-71.369388	NO	NO	YES	NO	YES
Rand Mountain	1883	183	Lowland	Belknap Range	43.513705	-71.325857	NO	NO	NO	NO	NO
Mount Major	1786	186	Lowland	Belknap Range	43.513679	-71.287243	NO	NO	NO	NO	NO
